student,number,model,position,side,treatment,distance,seen
18299410,23,16,1,R,S,5,0
18299410,23,17,2,R,S,2,0
18299410,23,18,3,R,B,6,0
18299410,23,19,4,R,S,1,0
18299410,23,20,5,R,B,2,0
18299410,23,21,6,R,Y,2,0
18299410,23,22,7,R,B,4,0
18299410,23,23,8,R,Y,4,0
18299410,23,24,9,R,Y,5,0
18299410,23,25,10,R,S,4,0
18299410,23,26,11,R,Y,1,0
18299410,23,27,12,R,Y,3,0
18299410,23,28,13,R,B,5,0
18299410,23,29,14,R,S,3,0
18299410,23,30,15,R,B,1,0
18650222,24,1,1,L,S,4,0
18650222,24,2,2,L,Y,5,0
18650222,24,3,3,L,S,5,0
18650222,24,4,4,L,S,1,0
18650222,24,5,5,L,B,2,0
18650222,24,6,6,L,Y,4,1
18650222,24,7,7,L,S,2,0
18650222,24,8,8,L,B,5,0
18650222,24,9,9,L,S,3,0
18650222,24,10,10,L,B,3,0
18650222,24,11,11,L,Y,2,1
18650222,24,12,12,L,B,4,0
18650222,24,13,13,L,B,1,0
18650222,24,14,14,L,Y,3,1
18650222,24,15,15,L,Y,1,0
18650222,24,16,1,R,S,5,0
18650222,24,17,2,R,S,2,0
18650222,24,18,3,R,B,6,0
18650222,24,19,4,R,S,1,0
18650222,24,20,5,R,B,2,0
18650222,24,21,6,R,Y,2,1
18650222,24,22,7,R,B,4,1
18650222,24,23,8,R,Y,4,0
18650222,24,24,9,R,Y,5,0
18650222,24,25,10,R,S,4,0
18650222,24,26,11,R,Y,1,0
18650222,24,27,12,R,Y,3,0
18650222,24,28,13,R,B,5,0
18650222,24,29,14,R,S,3,0
18650222,24,30,15,R,B,1,0
18575734,25,1,1,L,S,4,0
18575734,25,2,2,L,Y,5,0
18575734,25,3,3,L,S,5,0
18575734,25,4,4,L,S,1,0
18575734,25,5,5,L,B,2,1
18575734,25,6,6,L,Y,4,1
18575734,25,7,7,L,S,2,0
18575734,25,8,8,L,B,5,0
18575734,25,9,9,L,S,3,0
18575734,25,10,10,L,B,3,0
18575734,25,11,11,L,Y,2,0
18575734,25,12,12,L,B,4,0
18575734,25,13,13,L,B,1,0
18575734,25,14,14,L,Y,3,1
18575734,25,15,15,L,Y,1,0
18575734,25,16,1,R,S,5,0
18575734,25,17,2,R,S,2,0
18575734,25,18,3,R,B,6,0
18575734,25,19,4,R,S,1,0
18575734,25,20,5,R,B,2,0
18575734,25,21,6,R,Y,2,0
18575734,25,22,7,R,B,4,0
18575734,25,23,8,R,Y,4,0
